LCR,LCR DESC,INC DATETIME,INC NO,LOCATION,DISTRICT
40A,Motor Vehicle Theft,02/23/2016 09:09:00 PM,P16010119,"(35.7795490751217, -78.61268397105597)",SOUTHEAST
40A,Motor Vehicle Theft,02/23/2016 07:34:00 PM,P16010112,"(35.861051578418994, -78.56861508448054)",NORTHEAST
40A,Motor Vehicle Theft,02/23/2016 05:47:00 PM,P16010101,"(35.818814018549716, -78.5962502534469)",NORTHEAST
40A,Motor Vehicle Theft,02/23/2016 04:58:00 PM,P16010084,"(35.731208895227404, -78.65093711707388)",SOUTWEST
40A,Motor Vehicle Theft,02/23/2016 01:36:00 PM,P16010033,"(35.82597582944281, -78.62102771426875)",NORTH
40A,Motor Vehicle Theft,02/22/2016 07:02:00 AM,P16009753,"(35.874868241071866, -78.72741973293236)",NORTHWEST
40A,Motor Vehicle Theft,02/22/2016 06:05:00 AM,P16009746,"(35.741915077745176, -78.57787249232157)",SOUTHEAST
40A,Motor Vehicle Theft,02/22/2016 05:57:00 AM,P16009747,"(35.84350205024094, -78.53879452795455)",NORTHEAST
40A,Motor Vehicle Theft,02/21/2016 05:08:00 PM,P16009693,"(35.905285897357295, -78.55605169836863)",NORTHEAST
40A,Motor Vehicle Theft,02/21/2016 09:00:00 AM,P16009632,"(35.80456883773437, -78.64386234454868)",DOWNTOWN
40A,Motor Vehicle Theft,02/20/2016 09:49:00 AM,P16009437,"(35.83542898238328, -78.59790445553922)",NORTH
40A,Motor Vehicle Theft,02/20/2016 02:12:00 AM,P16009409,"(35.785381474067506, -78.64445390060331)",DOWNTOWN
40A,Motor Vehicle Theft,02/19/2016 03:16:00 PM,P16009272,"(35.8420159957412, -78.57536686013333)",NORTHEAST
40A,Motor Vehicle Theft,02/19/2016 11:56:00 AM,P16009224,"(35.775764684850905, -78.6248073236375)",SOUTHEAST
40A,Motor Vehicle Theft,02/19/2016 08:08:00 AM,P16009185,"(35.844391108700954, -78.59576904447631)",NORTH
40A,Motor Vehicle Theft,02/19/2016 06:56:00 AM,P16009179,"(35.84200071430185, -78.53352058837645)",NORTHEAST
40A,Motor Vehicle Theft,02/18/2016 07:05:00 PM,P16009124,"(35.78487601187001, -78.71788326185256)",SOUTWEST
40A,Motor Vehicle Theft,02/18/2016 06:03:00 PM,P16009119,"(35.77922536789875, -78.60873801201292)",SOUTHEAST
40A,Motor Vehicle Theft,02/18/2016 11:54:00 AM,P16009047,"(35.735957012068916, -78.53687886248129)",SOUTHEAST
40A,Motor Vehicle Theft,02/18/2016 09:19:00 AM,P16009010,"(35.886735428515635, -78.59027649843854)",NORTHEAST
40A,Motor Vehicle Theft,02/18/2016 08:04:00 AM,P16009004,"(35.84286433151538, -78.5960163388183)",NORTH
40A,Motor Vehicle Theft,02/18/2016 07:33:00 AM,P16008996,"(35.842753557413886, -78.66225806467325)",NORTH
40A,Motor Vehicle Theft,02/18/2016 06:50:00 AM,P16008988,"(35.827080489211575, -78.59011768021642)",NORTH
40A,Motor Vehicle Theft,02/17/2016 06:33:00 AM,P16008802,"(35.839640368311265, -78.66421448152713)",NORTH
40A,Motor Vehicle Theft,02/16/2016 07:35:00 AM,P16008555,"(35.84607691643047, -78.67061895869476)",NORTH
40A,Motor Vehicle Theft,02/15/2016 03:42:00 PM,P16008469,"(35.89897279397779, -78.78692366469524)",NORTHWEST
40A,Motor Vehicle Theft,02/14/2016 08:35:00 PM,P16008284,"(35.84237311889026, -78.61231981858717)",NORTH
